,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
113,2023,SE,FT,Data Analyst,125000,US,0,US,M
114,2023,SE,FT,Data Analyst,110000,US,0,US,M
115,2023,EN,FT,Data Analyst,150000,US,0,US,M
116,2023,EN,FT,Data Analyst,100000,US,0,US,M
117,2023,SE,FT,Data Scientist,149076,US,0,US,M
118,2023,SE,FT,Data Scientist,82365,US,0,US,M
119,2023,MI,FT,Data Engineer,146000,US,0,US,M
120,2023,MI,FT,Data Engineer,75000,US,0,US,M
121,2023,SE,FT,Machine Learning Engineer,139500,US,0,US,M
122,2023,SE,FT,Machine Learning Engineer,109400,US,0,US,M
123,2023,SE,FT,Data Engineer,139500,US,0,US,M
124,2023,SE,FT,Data Engineer,109400,US,0,US,M
125,2023,MI,FT,Data Engineer,149600,US,0,US,M
126,2023,MI,FT,Data Engineer,102000,US,0,US,M
127,2023,MI,FT,Data Analyst,97361,GB,0,GB,M
128,2023,MI,FT,Data Analyst,48680,GB,0,GB,M
129,2023,SE,FT,Data Engineer,252000,US,0,US,M
130,2023,SE,FT,Data Engineer,129000,US,0,US,M
131,2023,SE,FT,Data Analyst,95000,US,0,US,M
132,2023,SE,FT,Data Analyst,85500,US,0,US,M
133,2023,SE,FT,Data Analyst,185900,US,0,US,M
134,2023,SE,FT,Data Analyst,121700,US,0,US,M
135,2023,EN,FT,Research Scientist,150000,US,0,US,M
136,2023,EN,FT,Research Scientist,100000,US,0,US,M
137,2023,MI,FT,Data Engineer,145000,US,0,US,M
138,2023,MI,FT,Data Engineer,125000,US,0,US,M
139,2023,MI,FT,Data Scientist,150000,US,100,US,M
140,2023,MI,FT,Data Scientist,97750,US,100,US,M
141,2023,SE,FT,Data Scientist,201000,US,0,US,M
142,2023,SE,FT,Data Scientist,122000,US,0,US,M
143,2023,SE,FT,Data Engineer,252000,US,0,US,M
144,2023,SE,FT,Data Engineer,129000,US,0,US,M
145,2023,SE,FT,Data Analyst,120000,US,100,US,M
146,2023,SE,FT,Data Analyst,75000,US,100,US,M
147,2023,MI,FT,Data Scientist,116990,US,100,US,M
148,2023,MI,FT,Data Scientist,82920,US,100,US,M
149,2023,SE,FT,Data Scientist,185900,US,0,US,M
150,2023,SE,FT,Data Scientist,129300,US,0,US,M
151,2023,MI,FT,Machine Learning Scientist,200000,US,0,US,S
152,2023,MI,FT,Machine Learning Scientist,125000,US,0,US,S
153,2023,SE,FT,Data Scientist,201000,US,0,US,M
154,2023,SE,FT,Data Scientist,122000,US,0,US,M
155,2023,SE,FT,Machine Learning Engineer,204500,US,0,US,M
156,2023,SE,FT,Machine Learning Engineer,142200,US,0,US,M
157,2023,SE,FT,Data Manager,155000,US,0,US,M
158,2023,SE,FT,Data Manager,140000,US,0,US,M
159,2023,MI,FT,Machine Learning Infrastructure Engineer,205920,US,0,US,M
160,2023,MI,FT,Machine Learning Infrastructure Engineer,171600,US,0,US,M
161,2023,SE,FT,Data Engineer,121500,US,100,US,M
162,2023,SE,FT,Data Engineer,78000,US,100,US,M
163,2023,MI,FT,Data Engineer,154000,US,0,US,M
164,2023,MI,FT,Data Engineer,116000,US,0,US,M
165,2023,SE,FT,Data Scientist,190000,US,0,US,M
166,2023,SE,FT,Data Scientist,136000,US,0,US,M
167,2023,MI,FT,Data Analyst,79106,GB,100,GB,M
168,2023,MI,FT,Data Analyst,43873,GB,100,GB,M
169,2023,SE,FT,Data Analyst,180000,US,0,US,M
170,2023,SE,FT,Data Analyst,110000,US,0,US,M
171,2023,SE,FT,Data Scientist,275300,US,100,US,M
172,2023,SE,FT,Data Scientist,183000,US,100,US,M
173,2023,SE,FT,Data Engineer,170000,US,0,US,M
174,2023,SE,FT,Data Engineer,140000,US,0,US,M
175,2023,SE,FT,Data Engineer,154000,US,0,US,M
176,2023,SE,FT,Data Engineer,116000,US,0,US,M
177,2023,SE,FT,Data Engineer,160000,US,100,US,M
178,2023,SE,FT,Data Engineer,130000,US,100,US,M
179,2023,MI,FT,Data Engineer,200000,US,0,US,M
180,2023,MI,FT,Data Engineer,120000,US,0,US,M
181,2023,SE,FT,Data Scientist,175000,US,100,US,M
182,2023,SE,FT,Data Scientist,160000,US,100,US,M
183,2023,MI,FT,Data Engineer,127787,GB,0,GB,M
184,2023,MI,FT,Data Engineer,103446,GB,0,GB,M
185,2023,SE,FT,Data Engineer,153600,US,0,US,M
186,2023,SE,FT,Data Engineer,106800,US,0,US,M
187,2023,EN,FT,Data Analyst,85000,US,100,US,M
188,2023,EN,FT,Data Analyst,75000,US,100,US,M
189,2023,SE,FT,Data Scientist,225000,US,0,US,M
190,2023,SE,FT,Data Scientist,156400,US,0,US,M
191,2023,SE,FT,Analytics Engineer,150000,US,0,US,M
192,2023,SE,FT,Analytics Engineer,120000,US,0,US,M
193,2023,SE,FT,Machine Learning Engineer,163800,US,0,US,M
194,2023,SE,FT,Machine Learning Engineer,126000,US,0,US,M
195,2023,SE,FT,Data Analyst,145000,US,100,US,M
196,2023,SE,FT,Data Analyst,90000,US,100,US,M
197,2023,SE,FT,Machine Learning Engineer,204500,US,0,US,M
198,2023,SE,FT,Machine Learning Engineer,142200,US,0,US,M
199,2023,SE,FT,Data Analyst,95000,US,0,US,M
200,2023,SE,FT,Data Analyst,85500,US,0,US,M
201,2023,SE,FT,Data Engineer,167500,US,0,US,M
202,2023,SE,FT,Data Engineer,106500,US,0,US,M
203,2023,SE,FT,Data Engineer,163800,US,0,US,M
204,2023,SE,FT,Data Engineer,126000,US,0,US,M
205,2023,MI,FT,Data Analytics Manager,155000,US,0,US,M
206,2023,MI,FT,Data Analytics Manager,140000,US,0,US,M
207,2023,SE,FT,Research Scientist,250000,US,0,US,M
208,2023,SE,FT,Research Scientist,200000,US,0,US,M
209,2023,SE,FT,Data Scientist,260000,US,0,US,M
210,2023,SE,FT,Data Scientist,186000,US,0,US,M
211,2023,SE,FT,Data Engineer,160000,US,100,US,M
212,2023,SE,FT,Data Engineer,130000,US,100,US,M
213,2023,SE,FT,Research Scientist,200000,US,0,US,M
214,2023,SE,FT,Research Scientist,150000,US,0,US,M
215,2023,SE,FT,Data Scientist,48426,ES,0,ES,M
216,2023,SE,FT,Data Scientist,38741,ES,0,ES,M
217,2023,SE,FT,Data Scientist,150000,US,0,US,M
218,2023,SE,FT,Data Scientist,120000,US,0,US,M
219,2023,EN,FT,Data Analyst,30000,IN,50,IN,M
220,2023,MI,FT,Research Scientist,185000,US,0,US,M
221,2023,MI,FT,Research Scientist,125000,US,0,US,M
222,2022,EN,PT,Data Analyst,34320,US,100,US,S
223,2022,MI,FT,Business Data Analyst,9289,BR,100,BR,M
224,2023,SE,FT,Head of Data,75330,PT,100,PT,L
225,2022,EX,FT,Data Science Manager,106000,UZ,0,RU,L
226,2023,SE,FT,Data Analyst,175000,US,100,US,M
227,2023,SE,FT,Data Analyst,130000,US,100,US,M
228,2023,SE,FT,Data Analyst,122000,US,100,US,M
229,2023,SE,FT,Data Analyst,93800,US,100,US,M
230,2023,SE,FT,Data Science Manager,150000,MX,100,MX,M
231,2023,SE,FT,Data Science Manager,90000,MX,100,MX,M
232,2023,SE,FT,Data Analyst,165000,US,100,US,M
233,2023,SE,FT,Data Analyst,112000,US,100,US,M
234,2023,EN,FT,Computer Vision Engineer,220000,US,0,US,M
235,2023,SE,FT,BI Data Analyst,72101,DE,100,DE,M
236,2023,EN,FT,AI Developer,64568,DE,0,DE,M
237,2023,SE,FT,Machine Learning Engineer,204500,US,0,US,M
238,2023,SE,FT,Machine Learning Engineer,142200,US,0,US,M
239,2023,SE,FT,Data Analyst,15827,IN,100,IN,S
240,2023,MI,FT,Machine Learning Engineer,200000,US,0,US,M
241,2023,MI,FT,Machine Learning Engineer,175000,US,0,US,M
242,2023,SE,FT,Data Engineer,185900,US,0,US,M
243,2023,SE,FT,Data Engineer,129300,US,0,US,M
244,2023,SE,FT,Data Analyst,185900,US,0,US,M
245,2023,SE,FT,Data Analyst,121700,US,0,US,M
246,2023,SE,FT,Machine Learning Engineer,204500,US,0,US,M
247,2023,SE,FT,Machine Learning Engineer,142200,US,0,US,M
248,2023,MI,FT,Data Scientist,40000,FR,50,FR,L
249,2023,SE,FT,Data Science Consultant,29865,TH,50,TH,M
250,2023,SE,FT,Data Analyst,180180,US,0,US,M
251,2023,SE,FT,Data Analyst,106020,US,0,US,M
252,2023,SE,FT,Data Scientist,136000,US,100,US,M
253,2023,SE,FT,Data Scientist,104000,US,100,US,M
254,2023,SE,FT,Data Analyst,125000,US,0,US,M
255,2023,SE,FT,Data Analyst,110000,US,0,US,M
256,2023,SE,FT,Machine Learning Engineer,153400,US,0,US,M
257,2023,SE,FT,Machine Learning Engineer,122700,US,0,US,M
258,2023,EX,FT,Data Engineer,310000,US,100,US,M
259,2023,EX,FT,Data Engineer,239000,US,100,US,M
260,2023,SE,FT,Data Analyst,152380,US,0,US,M
261,2023,SE,FT,Data Analyst,121904,US,0,US,M
262,2023,SE,FT,Data Scientist,185900,US,0,US,M
263,2023,SE,FT,Data Scientist,129300,US,0,US,M
264,2023,SE,FT,Machine Learning Engineer,247500,US,0,US,M
265,2023,SE,FT,Machine Learning Engineer,172200,US,0,US,M
266,2023,SE,FT,Data Architect,168400,US,0,US,M
267,2023,SE,FT,Data Architect,105200,US,0,US,M
268,2023,SE,FT,Machine Learning Engineer,128280,US,0,US,M
269,2023,SE,FT,Machine Learning Engineer,106900,US,0,US,M
270,2022,SE,FT,Lead Data Scientist,192000,US,100,US,L
271,2023,MI,FT,Data Engineer,140000,US,0,US,M
272,2023,MI,FT,Data Engineer,100000,US,0,US,M
273,2023,SE,FT,Research Engineer,107614,DE,100,DE,S
274,2023,SE,FT,Research Engineer,86091,DE,100,DE,S
275,2023,SE,FT,Machine Learning Engineer,275000,DE,0,DE,M
276,2023,SE,FT,Machine Learning Engineer,174000,DE,0,DE,M
277,2023,SE,FT,Data Engineer,139500,US,0,US,M
278,2023,SE,FT,Data Engineer,109400,US,0,US,M
279,2023,SE,FT,Machine Learning Engineer,139500,US,0,US,M
280,2023,SE,FT,Machine Learning Engineer,109400,US,0,US,M
281,2023,SE,FT,Data Analyst,170500,US,100,US,M
282,2023,SE,FT,Data Analyst,85000,US,100,US,M
283,2023,SE,FT,Data Manager,73054,GB,0,GB,M
284,2023,SE,FT,Data Manager,54445,GB,0,GB,M
285,2023,EX,FT,Head of Data Science,160524,GB,0,GB,M
286,2023,EX,FT,Head of Data Science,127654,GB,0,GB,M
287,2023,SE,FT,Data Engineer,80000,US,0,US,M
288,2023,SE,FT,Data Engineer,65000,US,0,US,M
289,2023,SE,FT,Data Engineer,124740,US,0,US,M
290,2023,SE,FT,Data Engineer,65488,US,0,US,M
291,2023,SE,FT,Data Quality Analyst,72200,US,0,US,M
292,2023,SE,FT,Data Quality Analyst,64980,US,0,US,M
293,2023,SE,FT,Data Engineer,153600,US,0,US,M
294,2023,SE,FT,Data Engineer,106800,US,0,US,M
295,2023,SE,FT,Data Analyst,179975,US,100,US,M
296,2023,SE,FT,Data Analyst,86466,US,100,US,M
297,2023,SE,FT,Data Engineer,120000,US,0,US,M
298,2023,SE,FT,Data Engineer,90000,US,0,US,M
299,2023,MI,FT,Insight Analyst,51114,GB,0,GB,M
300,2023,MI,FT,Insight Analyst,42595,GB,0,GB,M
301,2023,SE,FT,Data Scientist,149076,US,0,US,M
302,2023,SE,FT,Data Scientist,82365,US,0,US,M
303,2023,SE,FT,Data Analyst,169000,US,0,US,M
304,2023,SE,FT,Data Analyst,110600,US,0,US,M
305,2023,SE,FT,Data Science Manager,175000,US,0,US,M
306,2023,SE,FT,Data Science Manager,120000,US,0,US,M
307,2023,SE,FT,Data Analyst,230000,US,0,US,M
308,2023,SE,FT,Data Analyst,180000,US,0,US,M
309,2023,SE,FT,Data Analyst,153600,US,0,US,M
310,2023,SE,FT,Data Analyst,106800,US,0,US,M
311,2023,SE,FT,Data Manager,140000,US,0,US,M
312,2023,SE,FT,Data Manager,120000,US,0,US,M
313,2023,SE,FT,Machine Learning Infrastructure Engineer,205920,US,0,US,M
314,2023,SE,FT,Machine Learning Infrastructure Engineer,171600,US,0,US,M
315,2023,SE,FT,Data Analyst,165000,US,100,US,M
316,2023,SE,FT,Data Analyst,125000,US,100,US,M
317,2023,SE,FT,Data Engineer,265000,US,0,US,M
318,2023,SE,FT,Data Engineer,185000,US,0,US,M
319,2023,MI,FT,Applied Machine Learning Engineer,130000,US,0,US,M
320,2022,EN,FT,Data Scientist,168000,US,100,US,M
321,2023,MI,FT,AI Scientist,38741,ES,50,ES,L
322,2023,SE,FT,Data Analyst,95000,US,0,US,M
323,2023,SE,FT,Data Analyst,85500,US,0,US,M
324,2023,SE,FT,Data Scientist,147100,US,0,US,M
325,2023,SE,FT,Data Scientist,90700,US,0,US,M
326,2023,SE,FT,Data Engineer,167580,US,0,US,M
327,2023,SE,FT,Data Engineer,87980,US,0,US,M
328,2023,SE,FT,Data Engineer,202000,US,100,US,M
329,2023,SE,FT,Data Engineer,135000,US,100,US,M
330,2023,SE,FT,Data Engineer,163800,US,0,US,M
331,2023,SE,FT,Data Engineer,126000,US,0,US,M
332,2023,SE,FT,Machine Learning Engineer,163800,US,0,US,M
333,2023,SE,FT,Machine Learning Engineer,126000,US,0,US,M
334,2023,SE,FT,Data Engineer,104000,US,100,US,M
335,2023,SE,FT,Data Engineer,65000,US,100,US,M
336,2023,SE,FT,Research Engineer,230000,US,0,US,M
337,2023,SE,FT,Research Engineer,148000,US,0,US,M
338,2023,SE,FT,Machine Learning Engineer,269000,CA,100,CA,M
339,2023,SE,FT,Machine Learning Engineer,158000,CA,100,CA,M
340,2023,SE,FT,Analytics Engineer,197000,US,0,US,M
341,2023,SE,FT,Analytics Engineer,106000,US,0,US,M
342,2023,MI,FT,Deep Learning Engineer,150000,US,100,US,M
343,2023,MI,FT,Deep Learning Engineer,100000,US,100,US,M
344,2023,SE,FT,Data Engineer,290000,US,100,US,M
345,2023,SE,FT,Data Engineer,210000,US,100,US,M
346,2023,SE,FT,Data Engineer,192000,US,0,US,M
347,2023,SE,FT,Data Engineer,172800,US,0,US,M
348,2023,SE,FT,Data Scientist,300240,US,0,US,M
349,2023,SE,FT,Data Scientist,200160,US,0,US,M
350,2023,SE,FT,Data Scientist,300240,US,0,US,M
351,2023,SE,FT,Data Scientist,200160,US,0,US,M
352,2023,SE,FT,Analytics Engineer,175000,US,0,US,M
353,2023,SE,FT,Analytics Engineer,140000,US,0,US,M
354,2023,SE,FT,Data Manager,169000,US,0,US,M
355,2023,SE,FT,Data Manager,100000,US,0,US,M
356,2023,SE,FT,Data Scientist,370000,US,0,US,M
357,2023,SE,FT,Data Scientist,245000,US,0,US,M
358,2023,MI,FT,Data Engineer,115617,GB,100,GB,L
359,2023,SE,FT,Data Analyst,110000,US,100,US,S
360,2023,SE,FT,Data Analyst,80000,US,100,US,S
361,2023,EN,FT,Data Analyst,55000,US,0,US,M
362,2023,EN,FT,Data Analyst,48000,US,0,US,M
363,2023,SE,FT,Data Analyst,95000,US,0,US,M
364,2023,SE,FT,Data Analyst,85000,US,0,US,M
365,2023,SE,FT,Data Engineer,137500,US,100,US,M
366,2023,SE,FT,Data Engineer,81500,US,100,US,M
367,2023,SE,FT,Machine Learning Engineer,323300,US,0,US,M
368,2023,SE,FT,Machine Learning Engineer,184700,US,0,US,M
369,2021,MI,FT,AI Scientist,30000,GH,0,GH,S
370,2023,SE,FT,Machine Learning Engineer,186000,US,100,US,M
371,2023,SE,FT,Machine Learning Engineer,153088,US,100,US,M
372,2023,MI,FT,Data Infrastructure Engineer,190000,US,100,US,M
373,2023,MI,FT,Data Infrastructure Engineer,160000,US,100,US,M
374,2023,SE,FT,Machine Learning Engineer,200000,US,100,US,M
375,2023,SE,FT,Machine Learning Engineer,150000,US,100,US,M
376,2023,MI,FT,Data Infrastructure Engineer,190000,US,0,US,M
377,2023,MI,FT,Data Infrastructure Engineer,183310,US,0,US,M
378,2023,SE,FT,Machine Learning Engineer,240000,US,100,US,M
379,2023,SE,FT,Machine Learning Engineer,180000,US,100,US,M
380,2023,SE,FT,Machine Learning Engineer,200000,US,100,US,M
381,2023,SE,FT,Machine Learning Engineer,150000,US,100,US,M
382,2023,SE,FT,Data Science Manager,299500,US,0,US,M
383,2023,SE,FT,Data Science Manager,245100,US,0,US,M
384,2023,SE,FT,Data Engineer,144000,US,100,US,M
385,2023,SE,FT,Data Engineer,66000,US,100,US,M
386,2023,MI,FT,Machine Learning Engineer,148500,US,0,US,M
387,2023,MI,FT,Machine Learning Engineer,126277,US,0,US,M
388,2023,SE,FT,Data Architect,228000,US,0,US,M
389,2023,SE,FT,Data Architect,120000,US,0,US,M
390,2023,SE,FT,Machine Learning Software Engineer,180000,US,0,US,M
391,2023,SE,FT,Machine Learning Software Engineer,90000,US,0,US,M
392,2023,SE,FT,Data Scientist,126500,US,0,US,M
393,2023,SE,FT,Data Scientist,78000,US,0,US,M
394,2023,SE,FT,Data Engineer,180000,US,0,US,M
395,2023,SE,FT,Data Engineer,160000,US,0,US,M
396,2023,SE,FT,Machine Learning Software Engineer,272000,US,0,US,M
397,2023,SE,FT,Machine Learning Software Engineer,170000,US,0,US,M
398,2023,MI,FT,Data Analyst,80000,US,0,US,M
399,2023,MI,FT,Data Analyst,60000,US,0,US,M
400,2023,SE,FT,Data Engineer,259000,US,100,US,M
401,2023,SE,FT,Data Engineer,146000,US,100,US,M
402,2023,SE,FT,Data Engineer,200000,US,0,US,M
403,2023,SE,FT,Data Engineer,160000,US,0,US,M
404,2023,EX,FT,Data Engineer,310000,US,100,US,M
405,2023,EX,FT,Data Engineer,239000,US,100,US,M
406,2023,SE,FT,Data Analyst,142000,US,100,US,M
407,2023,SE,FT,Data Analyst,95000,US,100,US,M
408,2023,SE,FT,Data Scientist,155000,US,0,US,M
409,2023,SE,FT,Data Scientist,139500,US,0,US,M
410,2023,MI,FT,Data Engineer,140000,US,100,US,M
411,2023,MI,FT,Data Engineer,120000,US,100,US,M
412,2023,SE,FT,Data Engineer,259000,US,100,US,M
413,2023,SE,FT,Data Engineer,146000,US,100,US,M
414,2023,MI,FT,Data Analyst,109532,HR,0,HR,M
415,2023,MI,FT,Data Analyst,73021,HR,0,HR,M
416,2023,EN,PT,Data Analyst,17794,PL,100,IN,L
417,2023,EN,FT,Data Scientist,19539,BR,100,BR,L
418,2023,SE,FT,Data Science Lead,247500,US,0,US,M
419,2023,SE,FT,Data Science Lead,172200,US,0,US,M
420,2023,SE,FT,Data Scientist,225000,US,0,US,M
421,2023,SE,FT,Data Scientist,156400,US,0,US,M
422,2023,SE,FT,Data Engineer,139500,US,0,US,M
423,2023,SE,FT,Data Engineer,109400,US,0,US,M
424,2023,MI,FT,Data Engineer,125000,US,0,US,M
425,2023,MI,FT,Data Engineer,90000,US,0,US,M
426,2023,SE,FT,Machine Learning Infrastructure Engineer,107614,FR,100,FR,M
427,2023,SE,FT,Machine Learning Infrastructure Engineer,75330,FR,100,FR,M
428,2023,SE,FT,Data Scientist,185900,US,0,US,M
429,2023,SE,FT,Data Scientist,129300,US,0,US,M
430,2023,SE,FT,Machine Learning Engineer,139500,US,0,US,M
431,2023,SE,FT,Machine Learning Engineer,109400,US,0,US,M
432,2023,SE,FT,Data Analyst,120000,US,100,US,M
433,2023,SE,FT,Data Analyst,75000,US,100,US,M
434,2023,SE,FT,Data Analyst,169000,US,0,US,M
435,2023,SE,FT,Data Analyst,110600,US,0,US,M
436,2023,SE,FT,Machine Learning Engineer,288000,US,100,US,M
437,2023,SE,FT,Machine Learning Engineer,140000,US,100,US,M
438,2023,SE,FT,Machine Learning Engineer,288000,US,100,US,M
439,2023,SE,FT,Machine Learning Engineer,140000,US,100,US,M
440,2023,MI,FT,Data Engineer,120000,US,0,US,M
441,2023,MI,FT,Data Engineer,90000,US,0,US,M
442,2023,MI,FT,Data Science Lead,73021,GB,0,GB,M
443,2023,MI,FT,Data Science Lead,60851,GB,0,GB,M
444,2023,SE,FT,Data Scientist,215050,US,100,US,M
445,2023,SE,FT,Data Scientist,156400,US,100,US,M
446,2023,SE,FT,Data Architect,198000,US,100,US,M
447,2023,SE,FT,Data Architect,114000,US,100,US,M
448,2023,EN,FT,Data Analyst,75000,US,100,US,M
449,2023,EN,FT,Data Analyst,60000,US,100,US,M
450,2023,SE,FT,Machine Learning Engineer,204500,US,0,US,M
451,2023,SE,FT,Machine Learning Engineer,142200,US,0,US,M
452,2023,SE,FT,Data Scientist,209300,US,100,US,M
453,2023,SE,FT,Data Scientist,182200,US,100,US,M
454,2023,SE,FT,Data Manager,140000,US,0,US,M
455,2023,SE,FT,Data Manager,120000,US,0,US,M
456,2022,EN,FT,Data Scientist,85000,US,0,US,M
457,2023,MI,FT,Machine Learning Engineer,48680,GB,100,GB,M
458,2023,EN,FT,Research Engineer,120000,GB,100,GB,M
